Plaats,Postcode,Gemeente,Provincie
1e Exloermond,9573-9573,Borger-Odoorn,Drenthe
2e Exloermond,9571-9571,Borger-Odoorn,Drenthe
2e Valthermond,7877-7877,Borger-Odoorn,Drenthe
2e Vlotbrug,3218-3225,Nissewaard,Zuid-Holland
's-Graveland,1243-1243,Wijdemeren,Noord-Holland
's-Gravendeel,3295-3295,Hoeksche Waard,Zuid-Holland
's-Gravenhage,2491-2597,Den Haag,Zuid-Holland
's Gravenmoer,5109-5109,Dongen,Noord-Brabant
's-Gravenmoerse Vaart,5109-5109,Dongen,Noord-Brabant
's-Gravenpolder,4431-4431,Borsele,Zeeland
's-Gravenweg,2911-2911,Zuidplas,Zuid-Holland
's-Gravenzande,2691-2694,Westland,Zuid-Holland
's-Heer Abtskerke,4444-4444,Borsele,Zeeland
's-Heerenhoek,4453-4453,Borsele,Zeeland
't Vlaandertje,4451-4451,Borsele,Zeeland
's-Heerenberg,7041-7041,Montferland,Gelderland
's-Heerenbroek,8275-8275,Kampen,Overijssel
Baarland,4435-4435,Borsele,Zeeland
's-Hertogenbosch,5201-5237,'s-Hertogenbosch,Noord-Brabant
't Bergje,7701-7701,Hardenberg,Overijssel
't Buurtje,1751-1751,Schagen,Noord-Holland
't Coll,5641-5641,Eindhoven,Noord-Brabant
't Eind,5076-5076,Oisterwijk,Noord-Brabant
't Goy,3997-3997,Houten,Utrecht
't Haantje,7847-7847,Coevorden,Drenthe
't Haantje,7775-7775,Hardenberg,Overijssel
't Haantje,9057-9057,Leeuwarden,Friesland
't Haantje,2288-2288,Rijswijk,Zuid-Holland
't Haantje,4756-4756,Steenbergen,Noord-Brabant
't Harde,8084-8084,Elburg,Gelderland
't Hazeleger,6874-6874,Renkum,Gelderland
't Heechhout,8842-8842,Waadhoeke,Friesland
't Heeske,5993-5993,Peel en Maas,Limburg
't Herselt,5826-5826,Land van Cuijk,Noord-Brabant
Baarsdorp,4444-4444,Borsele,Zeeland
't Hoekske,5056-5056,Tilburg,Noord-Brabant
t Hof,6611-6611,Heumen,Gelderland
't Hof,5737-5737,Laarbeek,Noord-Brabant
Bakendorp,4435-4435,Borsele,Zeeland
't Kip,7157-7157,Berkelland,Gelderland
't Kret,9356-9356,Westerkwartier,Groningen
't Laar,8171-8171,Epe,Gelderland
't Lage van de Weg/weg,9981-9981,Het Hogeland,Groningen
't Leuken,5854-5854,Bergen,Limburg
't Loo,7597-7597,Dinkelland,Overijssel
't Loo,8095-8095,Oldebroek,Gelderland
t Loo Oldebroek,8095-8095,Oldebroek,Gelderland
't Marktje,4634-4634,Woensdrecht,Noord-Brabant
't Noorden,7912-7912,Hoogeveen,Drenthe
't Oever,3882-3882,Putten,Gelderland
't Rolder,7136-7136,Oost Gelre,Gelderland
't Rooth,6269-6269,Eijsden-Margraten,Limburg
t Schoor / Skoar,9141-9145,Noordoost-Friesland,Friesland
't Stort,9965-9965,Het Hogeland,Groningen
't Veld,1735-1735,Hollands Kroon,Noord-Holland
